,Value
Total Records,1215
Date Range,2024-05-01 00:00:00 to 2025-12-17 00:00:00
Overall Fertilization Rate (%),59.75
Usable Embryo Rate (%),23.87
Average Selection Time (sec),152.58
Unique Patients,1108
Unique Embryologists,10
Avg Sperm Concentration (M/ml),16.56
Avg Total Motility (%),55.24
Avg Progressive Motility (%),40.06
Avg Normal Morphology (%),8.55
Optimal Lab Conditions (%),89.88
Top Performing Embryologist,EMB_B
Top Embryologist Success Rate (%),68.3
Correlation (Experience vs Success),0.047
Correlation (Motility vs Success),0.001
